,fold,predictors,combination,e,md,mcw,mds,g,subsample
68,9,3.0,twq-ps-ndviw,0.0419882635756459,5.0,8.411258335216953,8.752507428055765,0.6237857190656603,0.6057180017848792
69,9,4.0,tcq-tcov-bgr-ts,0.1267746217816397,6.0,8.247066277126017,4.403256744717367,6.037845849777805,0.7668701177621507
70,9,5.0,twq-pwm-bgr-ts-ndviw,0.0833286135262651,6.0,1.0,0.0,0.0998359819439719,0.6280467760369569
71,9,6.0,twq-pwm-pet-tcov-bgr-ps,0.135207086837903,6.0,10.0,5.731058646177132,2.123395226304247,0.6634145264639777
72,9,7.0,twq-pwm-bgr-ps-ts-ndvism-ndviw,0.0809319892077281,6.0,7.846200564352294,5.494637576467362,1.3465985157985625,0.6060810479276042
73,9,8.0,twq-yp-pwm-tcov-bgr-ps-ts-ndviw,0.0966704321352853,6.0,8.158203886900523,1.5347939548060316,0.7443218520445829,0.6847308305458507
74,9,9.0,twq-yp-pwm-pet-tcov-bgr-ps-ts-ndviw,0.0728821387860261,6.0,6.444432177288014,2.7635470559517654,0.7765235108392575,0.6903860315237762
75,9,11.0,yt-tdq-twq-tcq-pwm-pet-bgr-ps-ts-ndvif-ndvisp,0.1057140516722376,6.0,3.7751112743547903,9.523382575326094,2.7251321465097837,0.7931590016073018
76,9,12.0,yt-twq-tcq-yp-pwm-tcov-bgr-ps-ts-ndvism-ndviw-wavai,0.0453753392689145,6.0,10.0,1.4995500399698631,2.463952868625669,0.6
77,3,1.0,pet,0.1937446169559712,5.0,5.633745702538685,0.4481021087410763,9.831728244092051,0.936309131509164
78,3,2.0,yt-ndviw,0.1078551223232569,5.0,1.0060937770190652,4.920596233554681,6.553764437194144,1.0
79,3,3.0,twq-ts-ndviw,0.0765427433836736,6.0,6.216263723227886,7.6413032547659,6.0459117498648425,0.8546957401317916
80,3,4.0,twq-bgr-ts-ndviw,0.0771702931199073,6.0,6.655675120532267,2.442994551220925,4.196344963273886,0.8924827787705647
81,3,5.0,twq-tcov-bgr-ts-wavai,0.0764874500747038,6.0,2.493810511106823,0.0,0.0,0.6938032416334613
82,3,6.0,twq-yp-bgr-ps-ts-ndviw,0.0738181548798117,6.0,1.0617480185968438,0.0,1.4370209644450953,0.7297753815533372
83,3,7.0,twq-yp-pet-tcov-bgr-ts-ndviw,0.0756517795468338,6.0,1.0,0.0,2.5146466844302684,0.8003919859515259
84,3,8.0,yt-twq-yp-pet-tcov-bgr-ps-ndviw,0.0960353923695415,5.0,2.4335953964285224,8.76634479546657,3.1738472632459813,0.6808635517534596
85,3,9.0,twq-yp-pwm-pet-tcov-bgr-ts-ndvif-ndviw,0.0753731037265234,6.0,1.0,4.623134779499988,0.6642209858490653,0.8453413355163685
86,3,10.0,twq-yp-pwm-pet-tcov-bgr-ts-ndvif-ndviw-wavai,0.0765749541334735,6.0,1.0,4.040998104108365,0.0,0.8473017946141901
87,3,11.0,tdq-twq-yp-pwm-pet-tcov-bgr-ts-ndvif-ndviw-wavai,0.0594296433956154,6.0,1.316848092371413,9.289853983542509,0.0278281014027077,0.6975557594508064
88,6,1.0,pet,0.2481698852672009,5.0,6.700176856226069,2.618933074783345,10.0,0.9997988014820116
89,6,2.0,tcq-tcov,0.1713855978038072,3.0,10.0,2.1301806588801147,9.96614756813907,0.9222636238740504
90,6,3.0,tcq-tcov-ts,0.2300696761285699,6.0,7.124227998211355,2.8766725218064164,10.0,0.9770266163244644
91,6,4.0,twq-tcov-ts-wavai,0.0632086050130906,6.0,7.830789104364625,4.236390852423592,2.6911461468840403,0.9000298450623133
92,6,5.0,twq-tcov-ps-ts-wavai,0.0770843934695288,6.0,8.47672801894225,5.422487390798921,2.497042744002508,0.9055504833479412
93,6,6.0,twq-yp-tcov-ps-ts-wavai,0.1296486694116091,6.0,5.859251545383629,4.718916347867583,0.2156314202062906,0.8255107742517286
94,6,7.0,twq-yp-tcov-bgr-ps-ts-wavai,0.1173520526748262,6.0,6.701812600373134,4.940119637309212,1.937289086077096,0.8902708535620758
95,6,8.0,twq-yp-pwm-tcov-ps-ts-ndvism-wavai,0.1235230854937242,5.0,7.100688548301736,5.024597362358218,2.0710164786298906,0.8871596536299515
96,6,9.0,twq-tcq-yp-tcov-bgr-ps-ts-ndviw-wavai,0.109560125655113,6.0,7.401543723398162,8.899914667831203,0.7378894356203201,0.8627650897599524
97,6,10.0,twq-tcq-yp-pwm-tcov-ps-ts-ndvism-ndviw-wavai,0.1091836721863907,6.0,6.961830241421304,4.849093215222407,1.173608544688049,0.7666146087504868
98,6,11.0,twq-tcq-yp-pwm-tcov-ps-ts-ndvism-ndvif-ndviw-wavai,0.1094006152639576,6.0,7.088807470681162,5.035439645027821,0.7540995367433623,0.7524640376335946
